,Never Moved,2+ Years,1-2 Years,6 Months - 1 Year,3 Months - 6 Months,1 Month - 3 Months,1 Week - 1 Month,< 1 Week
2019-09-03,0.6682,0.0608,0.1411,0.0399,0.0446,0.0327,0.0058,0.0069
2019-09-04,0.6673,0.0607,0.1411,0.04,0.0449,0.0326,0.0058,0.0076
2019-09-05,0.6661,0.0608,0.1409,0.0403,0.0533,0.024,0.0057,0.0089
2019-09-06,0.6661,0.0608,0.1409,0.0403,0.0544,0.0229,0.0057,0.0089
2019-09-07,0.6661,0.0609,0.1408,0.0403,0.0547,0.0242,0.0041,0.0089
2019-09-08,0.6661,0.0609,0.1408,0.0403,0.0547,0.0248,0.0036,0.0088
2019-09-09,0.6638,0.061,0.1404,0.0403,0.0548,0.0252,0.0027,0.0118
2019-09-10,0.6619,0.0612,0.1402,0.0404,0.0548,0.0259,0.008,0.0076
2019-09-11,0.6599,0.0613,0.1408,0.0397,0.0551,0.026,0.0086,0.0086
2019-09-12,0.6594,0.0613,0.1408,0.0398,0.0553,0.0258,0.0098,0.0078
2019-09-13,0.6579,0.0612,0.1408,0.0402,0.055,0.0257,0.0099,0.0093
2019-09-14,0.6578,0.0612,0.141,0.0403,0.0555,0.0248,0.0097,0.0097
2019-09-15,0.6503,0.0612,0.1406,0.0407,0.055,0.0248,0.0095,0.0179
2019-09-16,0.6423,0.0613,0.1405,0.0406,0.0556,0.0242,0.0125,0.023
2019-09-17,0.6404,0.0615,0.1404,0.0405,0.0557,0.0239,0.0145,0.0231
2019-09-18,0.6376,0.0616,0.1402,0.0405,0.0558,0.0235,0.0164,0.0244
2019-09-19,0.6364,0.0619,0.1399,0.0411,0.0554,0.0233,0.0169,0.0251
2019-09-20,0.6364,0.0622,0.1397,0.0412,0.0594,0.0195,0.0182,0.0234
2019-09-21,0.6364,0.0622,0.1401,0.041,0.0644,0.0143,0.0185,0.0231
2019-09-22,0.6364,0.0625,0.1403,0.0405,0.0648,0.014,0.0266,0.0149
2019-09-23,0.6364,0.0627,0.1401,0.0411,0.0643,0.0139,0.0348,0.0067
2019-09-24,0.6364,0.0627,0.1401,0.0415,0.064,0.0138,0.0368,0.0047
2019-09-25,0.6364,0.0627,0.1399,0.0416,0.0638,0.0141,0.04,0.0015
2019-09-26,0.6364,0.0629,0.1397,0.0417,0.0635,0.0141,0.0412,0.0005
2019-09-27,0.6364,0.063,0.1397,0.0423,0.0629,0.014,0.0412,0.0005
2019-09-28,0.6362,0.0635,0.1392,0.0426,0.063,0.0133,0.0411,0.0011
2019-09-29,0.6327,0.0639,0.1388,0.0431,0.0625,0.0134,0.0409,0.0047
2019-09-30,0.6327,0.0639,0.1389,0.0432,0.0623,0.0134,0.0408,0.0048
2019-10-01,0.6327,0.066,0.1369,0.0432,0.0623,0.0191,0.035,0.0048
2019-10-02,0.6327,0.066,0.1382,0.0419,0.0622,0.02,0.0344,0.0046
2019-10-03,0.6324,0.0661,0.1382,0.0419,0.0622,0.0212,0.0333,0.0047
2019-10-04,0.6324,0.0661,0.1384,0.0417,0.0621,0.0214,0.0331,0.0048
2019-10-05,0.6275,0.0661,0.1385,0.0415,0.0625,0.021,0.0337,0.0092
2019-10-06,0.6275,0.0661,0.1386,0.0422,0.0621,0.0206,0.0373,0.0056
2019-10-07,0.6275,0.0662,0.1385,0.0426,0.0618,0.0236,0.0343,0.0055
2019-10-08,0.6275,0.0663,0.1386,0.0426,0.0619,0.0253,0.0323,0.0055
2019-10-09,0.6275,0.0663,0.1386,0.0428,0.0617,0.0272,0.0304,0.0055
2019-10-10,0.6275,0.0665,0.1384,0.0429,0.0617,0.0275,0.0302,0.0053
2019-10-11,0.6275,0.0665,0.1393,0.0423,0.0616,0.029,0.0286,0.0052
2019-10-12,0.6275,0.0668,0.14,0.0414,0.0617,0.0291,0.0333,0.0002
2019-10-13,0.6274,0.0672,0.1396,0.0421,0.0613,0.0365,0.0252,0.0007
2019-10-14,0.6273,0.0673,0.1396,0.0422,0.0611,0.0445,0.0169,0.0011
2019-10-15,0.6273,0.0673,0.1396,0.0423,0.061,0.0465,0.0148,0.0012
2019-10-16,0.6272,0.0673,0.1396,0.0425,0.0621,0.0486,0.0114,0.0013
2019-10-17,0.6272,0.0673,0.1396,0.0426,0.0622,0.0496,0.0103,0.0012
2019-10-18,0.6272,0.0673,0.1391,0.0426,0.0618,0.0495,0.0103,0.0022
2019-10-19,0.6272,0.0673,0.1391,0.0426,0.0623,0.0489,0.0103,0.0023
2019-10-20,0.6272,0.0674,0.1393,0.0427,0.0621,0.0487,0.0108,0.0018
2019-10-21,0.6272,0.0674,0.1393,0.0431,0.0618,0.0486,0.0112,0.0014
2019-10-22,0.6272,0.0674,0.1393,0.0436,0.0617,0.0482,0.0113,0.0013
2019-10-23,0.6272,0.0674,0.1401,0.0429,0.0616,0.0485,0.0112,0.0011
2019-10-24,0.6272,0.0675,0.1401,0.043,0.0618,0.0482,0.0109,0.0013
2019-10-25,0.6272,0.0679,0.1397,0.0431,0.0616,0.0482,0.0118,0.0005
2019-10-26,0.6272,0.0681,0.1398,0.0427,0.0617,0.0487,0.0112,0.0006
2019-10-27,0.6272,0.0687,0.1392,0.0427,0.0617,0.0523,0.0074,0.0008
2019-10-28,0.6272,0.0687,0.1396,0.0423,0.062,0.0521,0.0073,0.0008
2019-10-29,0.6272,0.0689,0.1396,0.0466,0.0582,0.0514,0.0073,0.0008
2019-10-30,0.6272,0.0693,0.1392,0.0466,0.0582,0.0515,0.0072,0.0008
2019-10-31,0.6272,0.0694,0.1392,0.0465,0.0586,0.0514,0.007,0.0007
2019-11-01,0.6272,0.0695,0.139,0.0465,0.0587,0.0514,0.0071,0.0006
2019-11-02,0.6272,0.0695,0.1387,0.0465,0.0588,0.0555,0.0031,0.0007
2019-11-03,0.6272,0.0695,0.1389,0.0468,0.0583,0.0548,0.0033,0.0012
2019-11-04,0.6272,0.0695,0.1389,0.0468,0.0583,0.0546,0.0033,0.0014
2019-11-05,0.6272,0.0695,0.1387,0.0547,0.0504,0.0545,0.0033,0.0017
2019-11-06,0.6272,0.0696,0.1387,0.0549,0.0503,0.0543,0.0032,0.0018
2019-11-07,0.6272,0.0696,0.139,0.0549,0.0501,0.0543,0.0032,0.0017
2019-11-08,0.6272,0.0698,0.1389,0.0553,0.0496,0.0541,0.0033,0.0018
2019-11-09,0.6272,0.0698,0.1389,0.0554,0.0511,0.0524,0.0036,0.0016
2019-11-10,0.6272,0.0698,0.1389,0.0555,0.0516,0.0522,0.0037,0.0011
2019-11-11,0.6272,0.0699,0.1388,0.0555,0.0522,0.0519,0.0035,0.001
2019-11-12,0.6272,0.0701,0.1387,0.0558,0.0526,0.0511,0.0037,0.0008
2019-11-13,0.6272,0.0701,0.1389,0.0557,0.0528,0.051,0.0036,0.0007
2019-11-14,0.6272,0.0703,0.1385,0.0555,0.0528,0.0509,0.0036,0.0012
2019-11-15,0.6272,0.0703,0.1385,0.056,0.0523,0.0519,0.0028,0.001
2019-11-16,0.6272,0.0703,0.1385,0.0564,0.0519,0.052,0.0028,0.0009
2019-11-17,0.6272,0.0703,0.1386,0.0572,0.0511,0.0519,0.003,0.0007
2019-11-18,0.6272,0.0703,0.1389,0.0571,0.0508,0.0518,0.0031,0.0008
2019-11-19,0.6272,0.0705,0.1389,0.0569,0.0508,0.0518,0.0032,0.0007
2019-11-20,0.6272,0.0706,0.1402,0.0555,0.0508,0.0518,0.0032,0.0007
2019-11-21,0.6272,0.0711,0.1398,0.0562,0.0499,0.052,0.0035,0.0003
2019-11-22,0.6272,0.0712,0.1399,0.0578,0.0485,0.0516,0.0033,0.0005
2019-11-23,0.6272,0.0713,0.1398,0.0592,0.0471,0.0516,0.0031,0.0007
2019-11-24,0.6272,0.0714,0.1399,0.059,0.0471,0.0488,0.0028,0.0038
2019-11-25,0.6272,0.0719,0.1395,0.0593,0.0467,0.0488,0.003,0.0036
2019-11-26,0.6272,0.0721,0.1402,0.0586,0.0464,0.0487,0.003,0.0038
2019-11-27,0.6272,0.0726,0.14,0.0583,0.0467,0.0484,0.003,0.0038
2019-11-28,0.6271,0.0728,0.14,0.0581,0.0465,0.0485,0.0029,0.0041
2019-11-29,0.6271,0.0729,0.1402,0.0583,0.046,0.0486,0.003,0.0039
2019-11-30,0.6271,0.073,0.1403,0.0583,0.0457,0.0489,0.0028,0.0039
2019-12-01,0.6271,0.073,0.1403,0.0681,0.036,0.0494,0.0053,0.0008
2019-12-02,0.6271,0.0751,0.1382,0.0681,0.0361,0.0494,0.0053,0.0007
2019-12-03,0.627,0.0768,0.1365,0.0682,0.0415,0.0441,0.0053,0.0006
2019-12-04,0.627,0.0779,0.1356,0.0684,0.0418,0.0435,0.0052,0.0006
2019-12-05,0.627,0.0785,0.1357,0.0763,0.0343,0.0422,0.0055,0.0005
2019-12-06,0.627,0.0786,0.1357,0.0772,0.0334,0.0421,0.0053,0.0007
2019-12-07,0.627,0.0793,0.1359,0.0766,0.0331,0.0422,0.0053,0.0006
2019-12-08,0.627,0.0793,0.1361,0.0764,0.0331,0.0424,0.0051,0.0006
2019-12-09,0.627,0.0796,0.1356,0.0763,0.0359,0.0393,0.0048,0.0015
2019-12-10,0.6269,0.0802,0.1349,0.0763,0.0377,0.0373,0.0049,0.0018
2019-12-11,0.6269,0.0806,0.1345,0.0764,0.0392,0.0353,0.0049,0.0022
2019-12-12,0.6269,0.0822,0.1329,0.0767,0.0394,0.0352,0.0045,0.0022
2019-12-13,0.6269,0.0836,0.1347,0.0736,0.041,0.0335,0.0047,0.002
2019-12-14,0.6269,0.0844,0.1339,0.0744,0.0405,0.0332,0.0047,0.002
2019-12-15,0.6269,0.0846,0.1338,0.0743,0.0486,0.0251,0.0047,0.002
2019-12-16,0.6269,0.0851,0.1343,0.0739,0.0554,0.0178,0.0053,0.0013
2019-12-17,0.6269,0.0854,0.1343,0.0737,0.0573,0.0158,0.0058,0.0008
2019-12-18,0.6269,0.0861,0.1335,0.0739,0.059,0.0123,0.0061,0.0022
2019-12-19,0.6269,0.0861,0.1335,0.074,0.06,0.0108,0.0062,0.0025
2019-12-20,0.6269,0.0866,0.1337,0.0766,0.0567,0.011,0.006,0.0025
2019-12-21,0.6269,0.0871,0.1333,0.0814,0.0516,0.0111,0.0059,0.0027
2019-12-22,0.6269,0.0873,0.135,0.0798,0.0508,0.0139,0.0031,0.0032
2019-12-23,0.6267,0.0874,0.135,0.0798,0.0504,0.0139,0.0031,0.0037
2019-12-24,0.6267,0.0874,0.1356,0.0792,0.0502,0.0142,0.0029,0.0038
2019-12-25,0.6267,0.0876,0.1354,0.0791,0.0505,0.0139,0.0043,0.0025
2019-12-26,0.6267,0.0878,0.1352,0.0791,0.0507,0.0138,0.0048,0.0019
2019-12-27,0.6267,0.0886,0.1347,0.0788,0.0505,0.0138,0.0048,0.0021
2019-12-28,0.6266,0.0892,0.1342,0.0792,0.0504,0.0134,0.0049,0.0021
2019-12-29,0.6265,0.0893,0.134,0.0786,0.0537,0.01,0.0054,0.0025
2019-12-30,0.6265,0.0892,0.134,0.0783,0.0538,0.0099,0.0059,0.0024
2019-12-31,0.6264,0.0899,0.1327,0.078,0.053,0.0101,0.006,0.0039
2020-01-01,0.6264,0.0905,0.1321,0.0778,0.0522,0.01,0.006,0.005
2020-01-02,0.6258,0.0907,0.1317,0.0767,0.0517,0.0098,0.0057,0.0079
2020-01-03,0.6252,0.0906,0.1319,0.0762,0.0517,0.0098,0.0056,0.009
2020-01-04,0.6246,0.0901,0.1321,0.0757,0.0514,0.0096,0.0058,0.0107
2020-01-05,0.6219,0.0891,0.1318,0.0751,0.0496,0.0096,0.0069,0.016
2020-01-06,0.6214,0.0899,0.131,0.0749,0.0492,0.0104,0.0065,0.0167
2020-01-07,0.6212,0.0899,0.1314,0.0739,0.049,0.0109,0.0071,0.0166
2020-01-08,0.62,0.0899,0.1307,0.0725,0.048,0.0111,0.0077,0.0201
2020-01-09,0.6193,0.0903,0.1303,0.0724,0.0478,0.011,0.0106,0.0183
2020-01-10,0.6192,0.0909,0.1297,0.0724,0.0475,0.011,0.0117,0.0176
2020-01-11,0.6188,0.0911,0.1291,0.0721,0.0472,0.0109,0.0135,0.0173
2020-01-12,0.6188,0.092,0.1282,0.0724,0.0472,0.0104,0.0197,0.0113
2020-01-13,0.6188,0.0943,0.126,0.0718,0.0474,0.0102,0.0209,0.0106
2020-01-14,0.6186,0.095,0.125,0.0718,0.0474,0.0103,0.0215,0.0104
2020-01-15,0.6185,0.0962,0.1237,0.073,0.046,0.0113,0.0252,0.0061
2020-01-16,0.6181,0.0964,0.1235,0.073,0.0458,0.0119,0.0259,0.0054
2020-01-17,0.617,0.0967,0.1232,0.0723,0.0465,0.0108,0.0244,0.0091
2020-01-18,0.6165,0.0971,0.1226,0.0724,0.0463,0.0109,0.0256,0.0086
2020-01-19,0.6152,0.0995,0.1203,0.0723,0.0462,0.0111,0.0256,0.0098
2020-01-20,0.6151,0.0995,0.1205,0.072,0.0461,0.0113,0.0256,0.0099
2020-01-21,0.615,0.0999,0.1201,0.0723,0.0456,0.0117,0.026,0.0094
2020-01-22,0.6149,0.1005,0.1196,0.0719,0.0456,0.0119,0.0264,0.0092
2020-01-23,0.6148,0.1006,0.1197,0.0721,0.0451,0.0119,0.027,0.0088
2020-01-24,0.6148,0.1007,0.1206,0.0707,0.0451,0.0119,0.0311,0.0051
2020-01-25,0.6148,0.1013,0.12,0.0707,0.0452,0.012,0.0321,0.0039
2020-01-26,0.6135,0.0994,0.1204,0.0703,0.0453,0.013,0.0327,0.0054
2020-01-27,0.6133,0.0993,0.1205,0.0702,0.0452,0.0134,0.0329,0.0052
2020-01-28,0.6133,0.1,0.1198,0.0706,0.0448,0.0138,0.0327,0.005
2020-01-29,0.6133,0.1,0.1198,0.0706,0.0448,0.0151,0.0318,0.0046
2020-01-30,0.6133,0.0999,0.1199,0.0706,0.0447,0.0175,0.0296,0.0045
2020-01-31,0.6133,0.0999,0.1198,0.0706,0.0447,0.0185,0.0287,0.0045
2020-02-01,0.6133,0.1001,0.1199,0.0704,0.0448,0.0202,0.0268,0.0045
2020-02-02,0.6133,0.1002,0.12,0.0703,0.0453,0.0252,0.0242,0.0015
2020-02-03,0.6132,0.1004,0.12,0.07,0.0454,0.0261,0.0235,0.0014
2020-02-04,0.6132,0.1004,0.1198,0.0699,0.0454,0.0267,0.0229,0.0017
2020-02-05,0.6132,0.1004,0.1199,0.0699,0.0452,0.0306,0.019,0.0018
2020-02-06,0.6132,0.1005,0.1198,0.07,0.0451,0.0315,0.0183,0.0016
2020-02-07,0.6132,0.1006,0.1197,0.07,0.0453,0.0316,0.018,0.0016
2020-02-08,0.6131,0.1007,0.1195,0.0708,0.0443,0.0331,0.0161,0.0024
2020-02-09,0.6131,0.1008,0.1193,0.0713,0.0437,0.0333,0.0157,0.0028
2020-02-10,0.613,0.101,0.119,0.0712,0.0438,0.0335,0.0152,0.0033
2020-02-11,0.6129,0.101,0.1188,0.0718,0.0433,0.0341,0.0148,0.0033
2020-02-12,0.6128,0.101,0.1188,0.0721,0.043,0.0345,0.0144,0.0034
2020-02-13,0.6128,0.101,0.1188,0.0722,0.0432,0.0347,0.0138,0.0035
2020-02-14,0.6128,0.101,0.1189,0.0719,0.0432,0.0386,0.0102,0.0034
2020-02-15,0.6128,0.1011,0.1188,0.0719,0.0432,0.0398,0.0098,0.0026
2020-02-16,0.6128,0.1012,0.1189,0.0718,0.0431,0.0413,0.0088,0.0021
2020-02-17,0.6123,0.1011,0.1185,0.0716,0.0433,0.0415,0.0089,0.0028
2020-02-18,0.6123,0.1011,0.1185,0.0715,0.0433,0.0417,0.0092,0.0024
2020-02-19,0.6123,0.1012,0.1185,0.0713,0.0433,0.0421,0.0091,0.0022
2020-02-20,0.6123,0.1014,0.1212,0.0684,0.0433,0.0423,0.009,0.0021
2020-02-21,0.6123,0.1015,0.1212,0.0686,0.0432,0.0421,0.0089,0.0022
2020-02-22,0.6123,0.1019,0.1215,0.0679,0.0432,0.0421,0.0089,0.0022
2020-02-23,0.6123,0.1026,0.1216,0.0672,0.0458,0.0426,0.0058,0.0021
2020-02-24,0.6123,0.1026,0.1218,0.0669,0.0459,0.0428,0.0069,0.0008
2020-02-25,0.6123,0.1027,0.1217,0.0669,0.0462,0.0425,0.007,0.0007
2020-02-26,0.6123,0.1026,0.1217,0.067,0.0459,0.0426,0.0069,0.001
2020-02-27,0.6123,0.1028,0.1215,0.067,0.0458,0.0426,0.0069,0.0011
2020-02-28,0.6123,0.1031,0.1213,0.0669,0.0458,0.0429,0.0069,0.0008
2020-02-29,0.6122,0.1034,0.121,0.0669,0.0459,0.0425,0.0069,0.0012
2020-03-01,0.6121,0.1038,0.1208,0.0668,0.0458,0.0427,0.0067,0.0013
2020-03-02,0.6121,0.104,0.1206,0.0669,0.0457,0.043,0.0065,0.0012
2020-03-03,0.6121,0.104,0.1206,0.0685,0.0443,0.0432,0.0061,0.0012
2020-03-04,0.6121,0.104,0.1207,0.069,0.0431,0.0433,0.0064,0.0014
2020-03-05,0.6121,0.1277,0.0972,0.0698,0.0421,0.0432,0.0065,0.0014
2020-03-06,0.6121,0.1545,0.0704,0.07,0.042,0.0434,0.0062,0.0014
2020-03-07,0.612,0.1546,0.0703,0.07,0.042,0.0442,0.0057,0.0012
2020-03-08,0.612,0.1546,0.0703,0.07,0.0419,0.0448,0.0052,0.0012
2020-03-09,0.6119,0.1546,0.0703,0.0726,0.0401,0.0446,0.0046,0.0013
2020-03-10,0.6119,0.1547,0.0703,0.0742,0.0386,0.0445,0.0042,0.0016
2020-03-11,0.6119,0.1547,0.0703,0.0762,0.037,0.0443,0.0045,0.0011
2020-03-12,0.6119,0.1547,0.0704,0.0766,0.0365,0.0445,0.0045,0.0009
2020-03-13,0.6118,0.1547,0.0708,0.0779,0.0348,0.0447,0.0043,0.001
2020-03-14,0.6117,0.1548,0.0702,0.0779,0.0345,0.0447,0.0045,0.0017
2020-03-15,0.6115,0.1548,0.0706,0.0856,0.0264,0.0446,0.0046,0.0019
2020-03-16,0.6115,0.1549,0.0705,0.0911,0.021,0.0458,0.0033,0.0019
2020-03-17,0.6115,0.155,0.0704,0.0927,0.0194,0.0457,0.0035,0.0018
2020-03-18,0.6115,0.1552,0.0702,0.0961,0.0171,0.0447,0.0035,0.0017
2020-03-19,0.6115,0.1553,0.0705,0.0969,0.0165,0.0442,0.0034,0.0017
2020-03-20,0.6115,0.1553,0.0707,0.0967,0.0165,0.0445,0.0032,0.0016
2020-03-21,0.6115,0.1555,0.0706,0.0966,0.0167,0.0443,0.0041,0.0007
2020-03-22,0.6113,0.1556,0.0705,0.0966,0.0168,0.0442,0.0044,0.0006
2020-03-23,0.6113,0.1556,0.0709,0.096,0.0171,0.044,0.0044,0.0007
2020-03-24,0.6112,0.1557,0.0712,0.0956,0.0175,0.0436,0.0046,0.0006
2020-03-25,0.6112,0.1556,0.0713,0.0956,0.0176,0.0438,0.0042,0.0007
2020-03-26,0.6111,0.1557,0.0714,0.0955,0.0175,0.0439,0.004,0.0009
2020-03-27,0.6111,0.1556,0.0717,0.0951,0.0175,0.0439,0.0039,0.0012
2020-03-28,0.6111,0.1556,0.072,0.0953,0.0171,0.0442,0.0035,0.0012
2020-03-29,0.6111,0.1557,0.0724,0.0978,0.0152,0.0431,0.0036,0.0011
2020-03-30,0.6111,0.1559,0.0722,0.0979,0.0155,0.0426,0.0039,0.0009
2020-03-31,0.6111,0.1563,0.0718,0.0979,0.016,0.042,0.004,0.0009
2020-04-01,0.6111,0.1565,0.0716,0.098,0.0171,0.0414,0.0034,0.0009
2020-04-02,0.6111,0.1588,0.0693,0.0983,0.0192,0.0391,0.0035,0.0007
2020-04-03,0.6111,0.1588,0.0694,0.0983,0.0202,0.038,0.0038,0.0004
2020-04-04,0.6111,0.1589,0.0693,0.0985,0.0218,0.0363,0.0036,0.0005
2020-04-05,0.6111,0.1591,0.0698,0.0978,0.0269,0.0313,0.0036,0.0004
2020-04-06,0.6111,0.1593,0.0699,0.0975,0.0278,0.0306,0.0035,0.0003
2020-04-07,0.6111,0.1594,0.0699,0.0973,0.0284,0.0303,0.0033,0.0003
2020-04-08,0.6111,0.1594,0.0701,0.0972,0.0318,0.0269,0.0031,0.0004
2020-04-09,0.6111,0.1595,0.07,0.0973,0.0326,0.0259,0.0032,0.0004
2020-04-10,0.6111,0.1595,0.0703,0.097,0.0331,0.0255,0.003,0.0005
2020-04-11,0.611,0.1595,0.0704,0.0969,0.0348,0.0246,0.0022,0.0006
2020-04-12,0.611,0.1597,0.0708,0.0963,0.0353,0.0244,0.0019,0.0006
2020-04-13,0.611,0.1597,0.071,0.0964,0.0352,0.0244,0.0017,0.0006
2020-04-14,0.6107,0.1598,0.071,0.0962,0.0358,0.0238,0.0016,0.0011
2020-04-15,0.6107,0.1598,0.0712,0.0962,0.036,0.0234,0.0016,0.0011
2020-04-16,0.6107,0.16,0.0711,0.0961,0.0366,0.0228,0.0018,0.0009
2020-04-17,0.6107,0.16,0.0715,0.0965,0.0393,0.0193,0.0019,0.0008
2020-04-18,0.6007,0.159,0.0712,0.0966,0.0403,0.0182,0.0021,0.0119
2020-04-19,0.6007,0.1593,0.0713,0.0962,0.0417,0.017,0.0019,0.0119
2020-04-20,0.6007,0.1595,0.0714,0.0958,0.0423,0.0166,0.0017,0.012
2020-04-21,0.6007,0.1595,0.0718,0.0954,0.0425,0.0165,0.0022,0.0114
2020-04-22,0.6007,0.1603,0.071,0.0953,0.0428,0.0162,0.0022,0.0115
2020-04-23,0.6006,0.1603,0.0712,0.0952,0.043,0.016,0.002,0.0117
2020-04-24,0.6005,0.1604,0.0713,0.095,0.043,0.016,0.0017,0.0121
2020-04-25,0.6005,0.1604,0.0713,0.0951,0.0426,0.016,0.0122,0.0019
2020-04-26,0.5995,0.1604,0.0713,0.0952,0.0457,0.0129,0.0124,0.0026
2020-04-27,0.5989,0.1599,0.0711,0.095,0.0456,0.0127,0.0125,0.0043
2020-04-28,0.5986,0.1597,0.0755,0.0905,0.0455,0.0127,0.0119,0.0056
2020-04-29,0.5983,0.1599,0.0753,0.0905,0.0455,0.0126,0.0116,0.0063
2020-04-30,0.5981,0.1601,0.0749,0.0904,0.0455,0.0126,0.0116,0.0068
2020-05-01,0.598,0.1601,0.0749,0.0905,0.0456,0.0124,0.012,0.0065
2020-05-02,0.598,0.1601,0.0749,0.0907,0.0454,0.0125,0.0123,0.0061
2020-05-03,0.598,0.1603,0.0748,0.0911,0.0447,0.0122,0.013,0.0059
2020-05-04,0.5979,0.1603,0.0744,0.0909,0.0448,0.0118,0.0149,0.005
2020-05-05,0.5979,0.1621,0.0802,0.0832,0.0451,0.0114,0.0159,0.0042
2020-05-06,0.5975,0.162,0.0804,0.083,0.045,0.0113,0.0169,0.0039
